region;province;property_id;property_type;postal_code;city_name;address;price;bedroom_count;livable_surface;total_surface;build_year;garage;peb_category
Flandre;Antwerpen;LLZXP;Appartment;8430;Middelkerke;Leopoldlaan 250 / 0202;189000.0;2.0;62.0;62.0;1976.0;0;199
Flandre;Antwerpen;LJNYL;Appartment;8434;Westende;Henri Jasparlaan 182;49500.0;;;;;1;
Flandre;Antwerpen;K9W9Q;Appartment;8800;Roeselare;Hippoliet Spilleboutdreef 54;19500.0;;;;2020.0;1;0
Flandre;Antwerpen;LMJQQ;House;8460;Oudenburg;Vanderheydestraat 5;250000.0;2.0;131.0;365.0;1934.0;0;505
Flandre;Antwerpen;LKW76;Appartment;8620;Nieuwpoort;Albert I laan 37 / 00.08;310000.0;2.0;72.0;72.0;2025.0;0;
Flandre;Antwerpen;LJNH6;House;2940;Stabroek;Puttestraat 35;299000.0;3.0;122.0;115.0;;0;77
Flandre;Antwerpen;LJ2IX;House;3970;Leopoldsburg;Lommelsesteenweg 144;327000.0;6.0;200.0;249.0;1936.0;0;231
Flandre;Antwerpen;L5FSZ;House;8450;Bredene;Prinses Elisabethlaan 62;299000.0;2.0;133.0;54.0;1959.0;1;213
Flandre;Antwerpen;KYQT4;House;3600;Genk;Hasseltweg 344;235000.0;;146.0;695.0;1934.0;0;
Flandre;Antwerpen;LKVDZ;Appartment;8791;Beveren-Leie;Kerkplein 15 / 9;149950.0;2.0;97.0;97.0;1976.0;1;373
Flandre;Antwerpen;LHL6Z;House;3500;Hasselt;Windmolenstraat 45;695000.0;3.0;200.0;170.0;1918.0;0;283
Flandre;Antwerpen;LM092;Appartment;9300;Aalst;Molenstraat 13;298000.0;;93.0;120.0;1930.0;0;
Flandre;Antwerpen;LMITT;Appartment;2500;Lier;spoorweglei 117 / 5;225000.0;1.0;48.0;48.0;1970.0;0;89
Flandre;Antwerpen;LMJG8;Appartment;8540;Deerlijk;Schoolstraat 18;215000.0;;;133.0;;0;
Flandre;Antwerpen;LK86X;Appartment;8800;Roeselare;Kwadestraat 155 / 3.3;500000.0;;237.76;237.76;2024.0;0;
Flandre;Antwerpen;LLZUW;Appartment;3460;Bekkevoort;Hondstraatje 2;230000.0;;;1829.0;;0;
Flandre;Antwerpen;LMJHW;Appartment;8630;Veurne;Noordstraat 152;250000.0;2.0;;;2011.0;0;204
Flandre;Antwerpen;LLFQY;Appartment;3800;Sint-Truiden;Rijschoolstraat 90;389000.0;3.0;130.0;130.0;1899.0;0;0
Flandre;Antwerpen;LMITN;House;3454;Rummen;Persoonstraat 11a;419000.0;3.0;185.0;509.0;2014.0;0;
Flandre;Antwerpen;LLF0X;House;3740;Beverst;Kleistraat 17;945000.0;3.0;;3555.0;2025.0;0;
Flandre;Antwerpen;L4NZB;Appartment;3520;Zonhoven;Heuvenstraat 5;579072.0;;;241.0;2024.0;0;
Flandre;Antwerpen;L3ZBO;Appartment;2860;Sint-Katelijne-Waver;Antwerpsesteenweg 3;2457000.0;;1383.48;1383.48;;0;
Flandre;Antwerpen;LLEU7;Appartment;2140;Borgerhout;Alfred Oststraat 8 / 1;209000.0;2.0;83.0;83.0;1972.0;0;209
Flandre;Antwerpen;LMJO3;House;3530;Houthalen;Bremstraat 66;229000.0;4.0;201.0;505.0;1940.0;1;560
Flandre;Antwerpen;LLFTB;Appartment;9000;Gent;Sint-Salvatorstraat 82;32500.0;;;;;0;
Flandre;Antwerpen;L3ZAT;House;3940;Hechtel;Eindhovensebaan 55;795000.0;3.0;328.0;2924.0;2002.0;0;155
Flandre;Antwerpen;LKUP7;House;3640;Kinrooi;Kloosterstraat 8;629000.0;4.0;379.0;1348.0;1993.0;1;241
Flandre;Antwerpen;LMJUX;House;3520;Zonhoven;Vinkenhof;537240.0;3.0;252.0;576.0;;0;
Flandre;Antwerpen;LK8AJ;Appartment;2180;Ekeren;Oudstrijderslei 74;289000.0;2.0;90.0;90.0;1699.0;1;339
Flandre;Antwerpen;L3ZEF;Appartment;9000;Gent;Sint-Michielsstraat 13A / 102;365000.0;2.0;;;2017.0;0;
Flandre;Antwerpen;LMJQW;Appartment;8820;Torhout;Industrielaan 1;995000.0;;;;;0;480
Flandre;Antwerpen;LMITR;House;2230;Herselt;Blaubergsesteenweg 48;499000.0;1.0;455.0;915.0;2018.0;1;149
Flandre;Antwerpen;LKW72;Appartment;8620;Nieuwpoort;Albert I laan 51 / 0308;795000.0;4.0;190.0;190.0;2023.0;0;
Flandre;Antwerpen;LLFPH;Appartment;3900;Overpelt;Gilbert Seresiaplein 15;;;126.0;1170.0;2025.0;0;
Flandre;Antwerpen;L2M1P;Appartment;3590;Diepenbeek;Nieuwstraat 192;1295000.0;;950.0;2324.0;;0;
Flandre;Antwerpen;LKW6Z;Appartment;8620;Nieuwpoort;Albert I laan 37 / 00.06;455000.0;2.0;93.0;93.0;2025.0;0;
Flandre;Antwerpen;LI86D;House;3550;Zolder;Voetpad 36;410833.0;3.0;138.0;473.0;2026.0;0;
Flandre;Antwerpen;LJNTQ;Appartment;3920;Lommel;Kloosterstraat 131;169000.0;;;1057.0;;0;
Flandre;Antwerpen;LMJBV;House;3530;Helchteren;Verbindingsstraat 10;359000.0;4.0;173.0;587.0;1982.0;1;343
Flandre;Antwerpen;LLFR2;House;3130;Betekom;Hulstsestraat 33;550000.0;4.0;212.2;212.2;1965.0;0;121
Flandre;Antwerpen;LH03W;Appartment;3600;Genk;Schietboomstraat 5 / S10;19000.0;;;;;1;
Flandre;Antwerpen;LJN5N;Appartment;2360;Oud-Turnhout;Beukenlaan 6;360000.0;;;1750.0;;0;
