Code INS;Locality;Salary med/decla;Salary mean/hab;postcode
64023;Donceel;35 272;27 417;4357
64025;Fexhe-le-Haut-Clocher;34 577;25 586;4347
64029;Geer;34 677;26 666;4252
64034;Hannut;31 688;25 319;4280
64047;Lincent;32 017;24 975;4287
64056;Oreye;31 023;24 702;4360
64063;Remicourt;33 598;26 190;4350
64065;Saint-Georges-sur-Meuse;30 126;22 748;4470
64074;Waremme;29 443;24 170;4300
64075;Wasseiges;30 938;23 934;4219
64076;Faimes;34 506;27 321;4317
70000;Province de Limbourg;32 001;23 640;
71000;Arrondissement de Hasselt;32 060;24 183;
71002;As;33 320;24 566;3668
71004;Beringen;32 737;22 357;3582
71011;Diepenbeek;33 536;25 532;3590
71016;Genk;29 217;21 445;3600
71017;Gingelom;33 626;26 893;3890
71020;Halen;32 993;25 739;3545
71022;Hasselt;32 353;26 322;3512
71024;Herck-la-Ville;33 398;26 127;3540
71034;Bourg-Léopold;31 661;22 554;3971
71037;Lummen;34 898;26 096;3560
71045;Nieuwerkerken;32 923;24 446;3850
71053;Saint-Trond;30 079;24 098;3803
71057;Tessenderlo;34 382;25 753;3980
71066;Zonhoven;34 109;25 219;3520
71067;Zutendaal;33 474;25 388;3690
71069;Ham;34 381;24 784;3945
71070;Heusden-Zolder;32 151;22 449;3550
72000;Arrondissement de Maaseik;32 368;22 858;
72003;Bocholt;32 281;22 292;3950
72004;Bree;31 678;23 175;3960
72018;Kinrooi;32 160;22 400;3640
72020;Lommel;32 276;23 491;3920
72021;Maaseik;31 439;23 182;3680
72030;Peer;33 546;23 298;3990
72037;Hamont-Achel;31 305;21 747;3930
72038;Hechtel-Eksel;34 234;22 999;3940
72039;Houthalen-Helchteren;31 817;21 732;3530
72041;Dilsen-Stokkem;31 542;22 114;3650
72042;Oudsbergen;33 608;23 949;3660
72043;Pelt;33 310;23 124;3900
73000;Arrondissement de Tongres;31 430;23 487;
73001;Alken;33 838;25 947;3570
73006;Bilzen;32 428;24 261;3740
73009;Looz;31 933;24 212;3840
73022;Heers;32 672;23 995;3870
73028;Herstappe;38 615;24 336;3717
73032;Hoeselt;32 745;24 474;3730
73040;Kortessem;34 658;25 338;3723
73042;Lanaken;31 408;23 900;3620
73066;Riemst;32 670;23 790;3770
73083;Tongres;30 400;23 643;3700
73098;Wellen;34 352;25 576;3831
73107;Maasmechelen;28 975;20 262;3631
73109;Fourons;31 107;23 470;3798
80000;Province de Luxembourg;30 819;22 900;
81000;Arrondissement d’Arlon;36 151;25 386;
81001;Arlon;36 100;26 309;6700
81003;Attert;43 874;31 944;6717
81004;Aubange;33 123;20 736;6792
81013;Martelange;34 439;21 925;6630
81015;Messancy;39 793;28 101;6780
82000;Arrondissement de Bastogne;30 071;21 429;
82003;Bastogne;30 145;21 547;6600
82005;Bertogne;33 117;21 640;6688
82009;Fauvillers;34 647;23 140;6637
82014;Houffalize;29 412;21 463;6666
82032;Vielsalm;27 712;20 943;6690
82036;Vaux-sur-Sûre;32 244;22 270;6640
82037;Gouvy;29 500;20 486;6670
82038;Sainte-Ode;28 585;20 168;6680
83000;Arrondissement de Marche-en-Famenne;28 707;21 883;
83012;Durbuy;27 258;21 601;6940
83013;Erezée;28 581;22 426;6997
83028;Hotton;27 803;20 914;6990
83031;La Roche-en-Ardenne;27 510;21 526;6984
83034;Marche-en-Famenne;28 777;22 155;6900
83040;Nassogne;30 080;21 964;6953
83044;Rendeux;29 904;21 026;6987
83049;Tenneville;32 243;22 368;6970
83055;Manhay;30 742;22 960;6960
84000;Arrondissement de Neufchâteau;29 177;21 923;
84009;Bertrix;27 712;21 008;6880
84010;Bouillon;25 549;20 493;6831
84016;Daverdisse;28 015;19 725;6929
84029;Herbeumont;29 985;21 290;6887
84033;Léglise;34 983;23 428;6860
84035;Libin;31 107;22 534;6890
84043;Neufchâteau;31 001;22 275;6840
84050;Paliseul;28 175;20 975;6852
84059;Saint-Hubert;29 404;21 252;6870
84068;Tellin;28 985;22 365;6927
84075;Wellin;27 848;22 004;6920
84077;Libramont-Chevigny;29 821;22 998;6800
85000;Arrondissement de Virton;31 883;23 531;
